Date,Price,Open,High,Low,Vol.,Change %
1/3/2022,16.6,17.6,18.54,16.56,,-3.60%
1/4/2022,16.91,16.57,17.81,16.34,,1.87%
1/5/2022,19.73,17.07,20.17,16.58,,16.68%
1/6/2022,19.61,20.29,21.06,19.08,,-0.61%
1/7/2022,18.76,19.85,20.8,18.57,,-4.33%
1/10/2022,19.4,19.58,23.33,19.29,,3.41%
1/11/2022,18.41,19.62,21,18.2,,-5.10%
1/12/2022,17.62,18.17,18.69,17.36,,-4.29%
1/13/2022,20.31,18.06,20.61,17.45,,15.27%
1/14/2022,19.19,20.11,22.07,19.05,,-5.51%
1/18/2022,22.79,21.18,23.2,21.18,,18.76%
1/19/2022,23.85,23.12,23.99,21.85,,4.65%
1/20/2022,25.59,23.46,25.89,21.68,,7.30%
1/21/2022,28.85,25.38,29.79,25.31,,12.74%
1/24/2022,29.9,28.2,38.94,28.02,,3.64%
1/25/2022,31.16,32.29,35.85,29.13,,4.21%
1/26/2022,31.96,29.35,33.04,26.9,,2.57%
1/27/2022,30.49,32.19,33,28.42,,-4.60%
1/28/2022,27.66,30.27,32.82,27.28,,-9.28%
1/31/2022,24.83,28.36,29.41,24.71,,-10.23%
2/1/2022,21.96,24.57,25.33,21.96,,-11.56%
2/2/2022,22.09,21.56,22.73,20.46,,0.59%
2/3/2022,24.35,22.63,25.81,22.3,,10.23%
2/4/2022,23.22,23.77,26.26,22.07,,-4.64%
2/7/2022,22.86,24.09,24.82,22.02,,-1.55%
2/8/2022,21.44,23.09,23.48,21.32,,-6.21%
2/9/2022,19.96,21.27,21.3,19.93,,-6.90%
2/10/2022,23.91,20.37,24.77,20.18,,19.79%
2/11/2022,27.36,24.39,30.99,23.33,,14.43%
2/14/2022,28.33,29.17,32.04,28.33,,3.55%
2/15/2022,25.7,28.09,28.09,25.33,,-9.28%
2/16/2022,24.29,25.19,27.09,23.88,,-5.49%
2/17/2022,28.11,24.83,28.37,24.76,,15.73%
2/18/2022,27.75,26.66,29.71,26.38,,-1.28%
2/22/2022,28.81,31.8,32.04,28.4,,3.82%
2/23/2022,31.02,28.04,31.07,27.2,,7.67%
2/24/2022,30.32,37.5,37.79,29.45,,-2.26%
2/25/2022,27.59,31.68,32,26.93,,-9.00%
2/28/2022,30.15,32.44,33.51,28.43,,9.28%
3/1/2022,33.32,29.45,35.19,29.44,,10.51%
3/2/2022,30.74,34.2,34.41,30.12,,-7.74%
3/3/2022,30.48,30.52,32.01,29.31,,-0.85%
3/4/2022,31.98,31.9,34.65,31.47,,4.92%
3/7/2022,36.45,35.88,36.55,32.59,,13.98%
3/8/2022,35.13,36.19,37.52,32.78,,-3.62%
3/9/2022,32.45,33.74,34.12,31.39,,-7.63%
3/10/2022,30.23,33.03,34.03,30.23,,-6.84%
3/11/2022,30.75,30.43,31.04,28.84,,1.72%
3/14/2022,31.77,31.03,33.18,30.06,,3.32%
3/15/2022,29.83,33.13,33.83,29.57,,-6.11%
3/16/2022,26.67,29.02,29.8,26.29,,-10.59%
3/17/2022,25.67,26.51,27.47,25.25,,-3.75%
3/18/2022,23.87,26.36,26.82,23.85,,-7.01%
3/21/2022,23.53,25.14,25.36,22.99,,-1.42%
3/22/2022,22.94,24.02,24.02,22.7,,-2.51%
3/23/2022,23.57,23.04,24.03,22.64,,2.75%
3/24/2022,21.67,23.61,23.79,21.49,,-8.06%
3/25/2022,20.81,21.87,22.86,20.8,,-3.97%
3/28/2022,19.63,22.14,23.33,19.54,,-5.67%
3/29/2022,18.9,19.7,19.73,18.67,,-3.72%
3/30/2022,19.33,19.38,20.51,18.72,,2.28%
3/31/2022,20.56,19.68,21.48,19.54,,6.36%
4/1/2022,19.63,20.62,20.86,19.41,,-4.52%
4/4/2022,18.57,20.75,20.78,18.45,,-5.40%
4/5/2022,21.03,18.79,21.57,18.55,,13.25%
4/6/2022,22.1,21.27,24.78,21.24,,5.09%
4/7/2022,21.55,21.97,23.82,21.12,,-2.49%
4/8/2022,21.16,21.25,22.34,20.28,,-1.81%
4/11/2022,24.37,23.09,24.42,22.09,,15.17%
4/12/2022,24.26,24.94,25.38,22.27,,-0.45%
4/13/2022,21.82,23.52,24.45,21.37,,-10.06%
4/14/2022,22.7,21.72,22.7,20.85,,4.03%
4/15/2022,22.7,22.7,22.7,22.7,,0.00%
4/18/2022,22.17,24.52,24.6,21.98,,-2.33%
4/19/2022,21.37,22.55,22.92,20.36,,-3.61%
4/20/2022,20.32,21.13,21.32,19.75,,-4.91%
4/21/2022,22.68,20.24,23.28,19.81,,11.61%
4/22/2022,28.21,22.71,28.27,22.62,,24.38%
4/25/2022,27.02,30.04,31.6,26.8,,-4.22%
4/26/2022,33.52,27.38,33.81,27.06,,24.06%
4/27/2022,31.6,31.11,32.77,29.82,,-5.73%
4/28/2022,29.99,29.91,32,28,,-5.09%
4/29/2022,33.4,28.97,34.34,28.54,,11.37%
5/2/2022,32.34,33.35,36.64,31.74,,-3.17%
5/3/2022,29.25,31.76,32.82,29.06,,-9.55%
5/4/2022,25.42,29.12,29.42,24.94,,-13.09%
5/5/2022,31.2,25.97,33.2,25.78,,22.74%
5/6/2022,30.19,32.23,35.34,29.83,,-3.24%
5/9/2022,34.75,31.9,35.48,31.9,,15.10%
5/10/2022,32.99,33.66,34.84,32.24,,-5.06%
5/11/2022,32.56,32.87,34.39,30.69,,-1.30%
5/12/2022,31.77,33.74,34.76,31.7,,-2.43%
5/13/2022,28.87,31.09,31.2,28.78,,-9.13%
5/16/2022,27.47,30.01,30.23,27.36,,-4.85%
5/17/2022,26.1,27.07,27.17,25.51,,-4.99%
5/18/2022,30.96,26.74,31.49,26.21,,18.62%
5/19/2022,29.35,31.24,33.11,29.06,,-5.20%
5/20/2022,29.43,28.78,32.91,28.06,,0.27%
5/23/2022,28.48,28.98,30.39,28.29,,-3.23%
5/24/2022,29.45,29.43,31.07,29.04,,3.41%
5/25/2022,28.37,29.33,30.23,28.16,,-3.67%
5/26/2022,27.5,28.42,28.46,27.11,,-3.07%
5/27/2022,25.72,27.5,27.54,25.57,,-6.47%
5/30/2022,26.54,26.16,26.81,26.08,,3.19%
5/31/2022,26.19,27.47,28.35,25.94,,-1.32%
6/1/2022,25.69,26.05,27.73,25.38,,-1.91%
6/2/2022,24.72,25.73,26.5,24.33,,-3.78%
6/3/2022,24.79,24.91,25.96,24.76,,0.28%
6/6/2022,25.07,25.37,25.81,24.82,,1.13%
6/7/2022,24.02,25.54,26.24,23.88,,-4.19%
6/8/2022,23.96,24.37,24.78,23.74,,-0.25%
6/9/2022,26.09,24.29,26.24,23.82,,8.89%
6/10/2022,27.75,26.26,29.63,26.05,,6.36%
6/13/2022,34.02,31.37,35.05,31.29,,22.59%
6/14/2022,32.69,33.01,34,32.06,,-3.91%
6/15/2022,29.62,32.39,32.77,27.76,,-9.39%
6/16/2022,32.95,30.35,34.82,30.35,,11.24%
6/17/2022,31.13,32.84,33.31,30.47,,-5.52%
6/20/2022,31.03,32.06,32.16,30.98,,-0.32%
6/21/2022,30.19,30.63,30.65,29.33,,-2.71%
6/22/2022,28.95,31.45,31.57,28.78,,-4.11%
6/23/2022,29.05,29.29,29.77,28.74,,0.35%
6/24/2022,27.23,29.07,29.72,26.83,,-6.27%
6/27/2022,26.95,28.3,28.66,26.93,,-1.03%
6/28/2022,28.36,26.9,28.68,26.47,,5.23%
6/29/2022,28.16,28.8,29.36,27.85,,-0.71%
6/30/2022,28.71,29.42,30.22,28.28,,1.95%
7/1/2022,26.7,29.53,29.59,26.69,,-7.00%
7/4/2022,27.53,27.96,28.1,27.46,,3.11%
7/5/2022,27.54,27.37,29.82,27.3,,0.04%
7/6/2022,26.73,27.84,28.07,26.43,,-2.94%
7/7/2022,26.08,26.73,26.79,25.66,,-2.43%
7/8/2022,24.64,26.41,26.61,24.43,,-5.52%
7/11/2022,26.17,26.42,26.74,25.79,,6.21%
7/12/2022,27.29,27.14,27.75,25.82,,4.28%
7/13/2022,26.82,27.35,29.06,26.23,,-1.72%
7/14/2022,26.4,27.47,28.45,26.2,,-1.57%
7/15/2022,24.23,26.72,26.72,24.13,,-8.22%
7/18/2022,25.3,24.83,25.91,24.38,,4.42%
7/19/2022,24.5,25.12,25.41,24.23,,-3.16%
7/20/2022,23.88,24.23,24.73,23.4,,-2.53%
7/21/2022,23.11,24.07,24.67,22.92,,-3.22%
7/22/2022,23.03,23.3,23.81,22.41,,-0.35%
7/25/2022,23.36,24.33,24.57,23.19,,1.43%
7/26/2022,24.69,23.95,25.31,23.82,,5.69%
7/27/2022,23.24,24.27,24.41,23.02,,-5.87%
7/28/2022,22.33,23.33,23.54,22.22,,-3.92%
7/29/2022,21.33,22.13,22.16,21.21,,-4.48%
8/1/2022,22.84,22.41,23.27,22.26,,7.08%
8/2/2022,23.93,24.08,24.68,22.67,,4.77%
8/3/2022,21.95,23.86,23.92,21.68,,-8.27%
8/4/2022,21.44,22.06,22.66,21.44,,-2.32%
8/5/2022,21.15,21.5,22.58,20.76,,-1.35%
8/8/2022,21.29,21.74,22.01,20.83,,0.66%
8/9/2022,21.77,21.41,22.23,21.41,,2.25%
8/10/2022,19.74,22.28,22.34,19.54,,-9.32%
8/11/2022,20.2,19.84,20.85,19.71,,2.33%
8/12/2022,19.53,20.34,20.35,19.12,,-3.32%
8/15/2022,19.95,20.74,21.16,19.81,,2.15%
8/16/2022,19.69,20.23,20.39,19.5,,-1.30%
8/17/2022,19.9,19.74,20.63,19.41,,1.07%
8/18/2022,19.56,20.51,20.61,19.43,,-1.71%
8/19/2022,20.6,20.16,21.27,20.08,,5.32%
8/22/2022,23.8,22.41,24.62,22.39,,15.53%
8/23/2022,24.11,24.13,24.21,23.07,,1.30%
8/24/2022,22.82,24.37,24.86,22.73,,-5.35%
8/25/2022,21.78,22.41,23.13,21.77,,-4.56%
8/26/2022,25.56,22.07,25.9,21.67,,17.36%
8/29/2022,26.21,26.86,27.67,25.47,,2.54%
8/30/2022,26.21,25.75,27.69,25.13,,0.00%
8/31/2022,25.87,25.86,26.62,25.31,,-1.30%
9/1/2022,25.56,26.88,27.45,25.25,,-1.20%
9/2/2022,25.47,25.51,26.28,23.19,,-0.35%
9/5/2022,25.99,26.51,26.85,25.84,,2.04%
9/6/2022,26.91,25.46,27.8,25.33,,3.54%
9/7/2022,24.64,26.93,27.15,24.54,,-8.44%
9/8/2022,23.61,24.7,25.9,23.56,,-4.18%
9/9/2022,22.79,23.49,23.57,22.64,,-3.47%
9/12/2022,23.87,23.58,24.23,23.16,,4.74%
9/13/2022,27.27,23.67,28.15,23.53,,14.24%
9/14/2022,26.16,26.73,27.56,26.16,,-4.07%
9/15/2022,26.27,26.1,26.93,25.42,,0.42%
9/16/2022,26.3,27.47,28.45,26.14,,0.11%
9/19/2022,25.76,27.69,27.95,25.56,,-2.05%
9/20/2022,27.16,25.65,27.81,25.61,,5.43%
9/21/2022,27.99,28.03,30.18,25.55,,3.06%
9/22/2022,27.35,28.16,28.38,26.71,,-2.29%
9/23/2022,29.92,27.68,32.31,27.58,,9.40%
9/26/2022,32.26,31.74,32.88,29.83,,7.82%
9/27/2022,32.6,31.2,34.14,30.3,,1.05%
9/28/2022,30.18,34.5,34.88,30.03,,-7.42%
9/29/2022,31.84,31.67,33.46,31.16,,5.50%
9/30/2022,31.62,31.61,33.25,29.39,,-0.69%
